#{"t_start": 1781167131.9848042, "env_id": "None"}
r,l,t
1.897294,300,7.913067
-1.600236,300,9.309661
-2.052578,300,10.372418
-0.894802,300,11.592615
2.972406,300,14.46262
-1.345225,300,15.636002
-1.23317,300,19.249328
1.918447,300,20.436883
-0.841028,300,23.380673
1.666509,300,24.516702
-0.631558,300,25.74878
-1.576895,300,26.874782
2.136728,300,29.726834
-1.249512,300,33.133421
-2.554247,300,34.072404
2.684,300,34.919701
-0.066203,300,37.63638
-1.720226,300,38.7062
-1.334961,300,39.564111
-1.174677,300,40.460056
-2.618902,300,45.537333
0.538616,300,46.502671
-1.613914,300,47.447023
53.871589,174,48.081726
52.587036,258,49.014379
53.683711,172,51.270359
2.645695,300,52.425935
-1.503965,300,53.62705
-1.744823,300,56.913024
53.00618,151,57.317943
2.013094,300,60.012819
52.038701,195,60.600721
0.100563,300,61.502855
52.223584,269,62.404746
2.091264,300,63.352734
-2.057147,300,65.899908
53.092564,220,68.986496
1.32276,300,69.956389
-0.944062,300,70.989455
-1.358356,300,73.485814
1.278084,300,74.406237
53.321006,181,75.013695
2.838174,300,75.979164
-1.526208,300,79.287183
-1.928488,300,81.910874
2.357674,300,82.901609
2.083513,300,83.808308
-1.529136,300,84.785388
-1.559586,300,87.573823
2.550504,300,88.592481
2.0178,300,92.494795
-1.068217,300,93.592439
-0.711748,300,96.298191
-0.681941,300,97.213272
1.311483,300,98.136048
-1.092514,300,99.125559
1.487228,300,101.94641
2.159322,300,105.456243
0.468465,300,106.424912
-0.950494,300,107.340168
-1.14579,300,109.894239
-0.555712,300,110.840434
0.586896,300,111.788343
-1.084667,300,112.869702
2.253023,300,116.610784
-1.841179,300,119.129541
52.753036,218,119.7923
52.178094,238,120.46639
53.02819,172,121.113656
-0.708904,300,122.083313
2.197745,300,124.775964
2.491593,300,128.03909
-0.869737,300,129.223145
-1.39053,300,130.262753
-1.06049,300,133.110581
53.733896,176,133.668587
51.661228,193,134.289688
52.687541,190,134.887633
-1.583339,300,135.761998
53.791875,174,136.295789
-1.289279,300,140.967606
1.483196,300,142.117369
2.284825,300,142.988872
1.876235,300,143.808769
2.3914,300,146.285891
2.271052,300,147.228218
0.558234,300,150.830737
52.95889,175,151.450362
1.291092,300,154.33086
2.241885,300,155.242598
-2.088941,300,156.259261
2.134558,300,157.241397
-1.858051,300,159.854507
-2.159559,300,160.905794
-2.600337,300,164.408145
2.85393,300,165.377106
-0.950586,300,166.465702
-1.208904,300,168.992144
-1.145524,300,169.892884
-0.894487,300,170.912424
53.091768,158,171.407966
2.790557,300,176.513196
54.032752,169,177.047673
-1.991136,300,178.062983
2.453903,300,178.963893
-1.426194,300,179.851648
-2.175555,300,182.843971
2.026788,300,183.70922
-1.508429,300,186.94827
2.219845,300,187.917632
2.232137,300,190.355909
-0.754315,300,191.384127
-1.248038,300,192.356064
3.232093,300,193.312787
-1.494207,300,195.934989
-1.087757,300,199.235827
0.66167,300,200.239735
-1.824812,300,201.263648
53.968796,179,201.843909
53.884794,157,204.11167
53.201294,176,204.577451
53.73343,182,205.12416
-1.429183,300,206.071467
2.423004,300,207.012094
1.400945,300,212.015587
-0.817925,300,212.871155
-0.983259,300,213.872945
-6.085032,300,214.775716
-1.513886,300,217.482746
-9.718165,300,218.504351
2.646855,300,221.916438
2.501443,300,222.973719
53.38025,176,223.576592
53.088552,184,226.088519
1.595683,300,227.105972
-1.13437,300,228.120438
-0.461247,300,229.220609
-0.724285,300,230.343555
2.52073,300,235.693223
52.935042,184,236.250338
52.259939,228,237.114592
2.150685,300,238.313648
53.281457,216,239.026686
-1.805359,300,241.60991
53.771198,183,242.365501
3.167982,300,243.491486
53.873626,168,244.043553
1.948334,300,247.354628
-1.49155,300,250.103228
53.311561,171,250.790819
-2.290897,300,251.814047
53.784161,185,252.359961
2.454527,300,253.394452
53.767622,165,255.517945
1.913496,300,256.524992
52.930925,205,259.585631
54.016449,192,260.381445
-1.262497,300,261.571892
-1.203612,300,264.143018
2.51586,300,265.119576
2.704289,300,266.115247
53.950575,182,266.761097
3.280823,300,269.555215
-1.408243,300,273.258349
-1.197665,300,274.262165
1.710699,300,275.1855
1.781118,300,276.149028
2.355913,300,278.890621
53.158475,174,279.442179
52.603434,159,279.932463
-1.333611,300,283.312669
1.157099,300,284.363191
-1.063455,300,287.307207
-1.155724,300,288.463559
2.011052,300,289.373868
-1.255293,300,290.357415
-1.386023,300,293.042131
-0.763013,300,296.446641
53.407738,169,296.938243
-2.239025,300,297.74712
1.901274,300,300.472112
-1.387142,300,301.396589
1.140061,300,302.278887
52.539251,175,302.855684
52.166114,225,303.579159
