#{"t_start": 1781167132.005257, "env_id": "None"}
r,l,t
-2.415549,300,7.893035
-1.50678,300,9.289505
-1.513755,300,10.352433
-2.612155,300,11.572417
2.143184,300,14.442755
-1.514381,300,15.615963
2.259978,300,19.229208
2.591399,300,20.416705
-0.98098,300,23.360542
52.098854,209,24.204235
1.769094,300,25.420235
-1.91337,300,26.542358
2.46526,300,29.367963
2.145157,300,32.810856
-3.206508,300,33.77757
-1.117317,300,34.682954
-1.101675,300,37.342635
1.441499,300,38.351789
1.741188,300,39.336537
-0.503236,300,40.154612
-0.707619,300,43.379786
53.874588,189,45.841895
1.330177,300,46.806528
-0.844503,300,47.724835
-1.307911,300,48.910699
1.580491,300,51.590901
-1.539926,300,52.829434
1.756409,300,56.238857
-1.186498,300,57.167848
-0.776152,300,59.794402
2.172787,300,60.704315
2.489156,300,61.645263
1.392776,300,62.604708
-1.315405,300,63.571155
1.721691,300,68.491072
1.469768,300,69.529633
52.306519,268,70.286201
-1.334256,300,71.325557
-1.711187,300,73.902688
2.714051,300,74.785583
-1.360655,300,75.765018
-1.095084,300,79.129791
53.383209,176,81.462302
-1.122959,300,82.326036
0.60357,300,83.218863
-0.814161,300,84.185687
-1.29027,300,85.132934
1.558647,300,88.003897
-1.223212,300,91.813872
1.733991,300,92.967233
-6.059788,300,94.035625
-0.762014,300,96.585988
-1.712382,300,97.627265
51.940327,238,98.310961
52.496586,221,99.054151
1.031417,300,101.87296
53.061199,300,105.339582
1.668909,300,106.329549
-0.969302,300,107.262662
-1.157745,300,109.798077
1.125428,300,110.758251
-1.261143,300,111.719433
1.34273,300,112.774949
-1.027325,300,116.505146
-1.371016,300,119.052792
2.013729,300,119.929212
2.439865,300,120.910486
0.345096,300,121.895429
-1.12425,300,124.597143
1.787281,300,127.899847
-1.213739,300,129.003397
1.817173,300,130.112603
53.576011,185,132.512717
-0.667021,300,133.536419
52.825542,249,134.334658
53.132442,266,135.171282
53.886389,168,135.618345
53.027906,196,136.237933
2.31142,300,140.902565
-1.405207,300,142.023589
-1.4401,300,142.922713
-1.711233,300,143.751043
53.900108,191,145.843005
53.613126,183,146.428823
53.48562,165,146.995551
53.092284,198,147.626388
-1.442598,300,151.294937
52.824443,159,151.759963
1.730901,300,154.67398
-0.919703,300,155.549619
-1.783405,300,156.538791
-0.583238,300,157.537312
1.598985,300,160.149348
52.645374,187,160.821607
-1.562597,300,164.356412
-0.544309,300,165.336791
-0.688292,300,166.410294
-1.494985,300,168.946606
53.379505,208,169.566224
-2.054888,300,170.589532
53.553016,178,171.140429
1.570824,300,174.44709
2.639035,300,177.272146
2.655578,300,178.167394
-0.92832,300,179.111207
52.812032,177,179.649628
53.48114,159,180.161013
-1.820059,300,183.087417
52.544555,228,183.738238
1.597454,300,186.971853
53.046724,176,187.507456
52.669565,201,188.166514
53.000868,177,190.255122
2.666295,300,191.270066
2.329189,300,192.231832
53.545613,172,192.782741
1.873267,300,193.712407
52.788888,201,196.024488
2.875967,300,199.37625
-0.780465,300,200.359894
-1.166659,300,201.352487
2.76061,300,204.108025
-1.930859,300,204.975874
3.59102,300,205.923995
2.448678,300,206.847688
53.190791,189,209.763348
-2.881113,300,212.346597
-1.110835,300,213.284694
1.057153,300,214.30313
-0.561052,300,215.19472
-0.977057,300,217.93587
-1.949181,300,218.95144
54.136257,171,221.917242
2.192209,300,222.982483
53.2173,163,223.539805
1.457935,300,226.481199
53.407925,174,227.054471
-1.53797,300,228.047085
-0.801123,300,229.154986
53.662618,182,229.847359
-1.88059,300,232.762708
-2.593546,300,236.180195
2.843218,300,237.251843
53.142618,186,238.081251
-1.998717,300,239.068682
52.823913,197,241.364056
-0.998217,300,242.469137
-1.16971,300,243.593167
-0.713809,300,246.932826
1.757254,300,249.686953
-0.720681,300,250.770739
2.231062,300,251.794232
53.130151,212,252.417395
-1.668756,300,253.450505
1.087034,300,256.019492
2.987413,300,259.416737
-2.19216,300,260.616872
0.9498,300,261.73652
52.697715,188,263.992888
54.234252,186,264.585568
-1.227159,300,265.548828
-1.399646,300,266.6226
3.011874,300,267.642251
2.615185,300,272.998895
52.304363,159,273.665857
-1.206716,300,274.573834
53.895153,170,275.095745
3.311767,300,276.088551
2.942494,300,278.8317
52.152253,181,279.403192
2.993639,300,280.296045
1.38494,300,283.780836
53.380872,169,284.350334
53.16298,182,286.908705
1.145425,300,287.960891
-1.097786,300,289.0493
53.413566,157,289.478939
-1.047654,300,290.462145
52.77551,159,292.684783
52.845098,165,293.193634
-1.124944,300,296.617689
-1.661456,300,297.460724
1.386203,300,298.299364
1.814956,300,301.074852
-0.687001,300,301.980497
53.596333,167,302.45161
-1.675099,300,303.456374
-1.078033,300,308.535955
-0.588322,300,309.576783
51.943151,185,310.153085
-0.739086,300,311.197653
-1.697231,300,312.346473
54.085838,173,314.71479
1.749999,300,315.545932
-0.643822,300,316.308016
2.172389,300,319.54341
-0.996731,300,320.710521
1.229675,300,323.705955
-1.489842,300,324.890446
52.997333,172,325.57145
-0.994617,300,326.558884
2.640225,300,329.314945
2.135377,300,332.671153
-1.304798,300,333.889865
53.0039,173,334.476349
0.387932,300,335.467045
-0.870459,300,338.427716
2.198058,300,339.504162
-0.791373,300,340.47237
-1.187214,300,343.99303
1.452469,300,346.971715
2.599028,300,348.013452
52.236847,175,348.516427
52.663096,224,349.229923
-2.629916,300,350.300225
-0.908315,300,353.110306
52.965902,170,353.66783
1.628777,300,357.087994
-0.931678,300,358.09128
-1.751628,300,360.923161
0.807587,300,362.120948
-1.545434,300,363.44899
-2.576393,300,364.772237
-1.050116,300,367.916661
-1.921211,300,371.566278
2.332996,300,372.475189
1.629265,300,373.564024
1.723084,300,374.488375
-1.802181,300,377.014514
0.788191,300,377.985613
-1.76517,300,378.817948
-1.425644,300,382.19065
1.294843,300,384.911027
-0.451628,300,385.922344
-0.936654,300,386.798586
-1.481163,300,387.650473
51.102851,247,390.184424
1.022161,300,391.250137
-0.826899,300,394.726415
52.004372,163,395.222936
1.733514,300,396.148036
2.286412,300,398.989165
-1.525018,300,400.004824
-1.058464,300,401.141613
-2.422661,300,402.075049
53.266619,170,404.324458
-1.605036,300,407.912463
-0.779395,300,408.775612
-0.906246,300,409.83787
-1.197477,300,410.690508
-1.81565,300,413.533041
1.977458,300,414.448923
-2.846392,300,417.765448
2.134279,300,418.770094
-0.80133,300,421.514835
-1.520037,300,422.51058
1.271451,300,423.526192
2.355199,300,424.528598
-0.791326,300,426.881968
1.487145,300,430.350751
-1.667955,300,431.638586
-1.179327,300,432.588636
-1.24407,300,435.447109
3.01555,300,436.427209
-0.774433,300,437.524574
-1.402931,300,438.367571
2.607703,300,443.518258
2.697922,300,444.504528
1.789233,300,445.636608
-3.321611,300,446.729131
53.728693,189,447.304709
53.651868,192,449.606978
-1.702476,300,450.502237
-0.562442,300,451.444935
-1.577179,300,454.648502
53.758895,158,455.110094
1.03375,300,457.824562
2.335613,300,458.832392
53.875655,165,459.359791
-1.998763,300,460.474098
-2.394159,300,463.499902
-1.857961,300,466.99835
2.824287,300,467.928032
1.714911,300,468.836316
-0.841923,300,469.625604
-0.808598,300,472.336476
-1.513773,300,473.475587
-1.464517,300,474.677318
-1.219393,300,478.284109
52.959613,188,480.567995
1.691651,300,481.591219
-1.267344,300,482.643033
-1.281203,300,483.740634
2.404712,300,486.37281
-1.167944,300,487.454069
1.335703,300,491.075998
51.133916,235,491.835436
1.475596,300,492.881648
53.12444,172,494.986473
-1.163676,300,496.088005
2.373184,300,497.177712
51.720828,239,498.006494
52.957216,197,498.626623
-0.98437,300,503.689259
2.727987,300,504.632441
-1.57595,300,505.683902
53.423587,198,506.322735
52.879888,184,506.835086
-2.724268,300,509.573483
2.396312,300,510.666487
53.40467,174,511.186373
-0.969738,300,514.600456
1.410499,300,517.149169
2.66375,300,518.292157
2.76339,300,519.282887
-0.870952,300,520.286105
51.393824,241,521.250635
52.422652,218,523.556658
2.524668,300,524.605124
54.101439,160,527.516831
53.43531,182,528.151917
-1.478325,300,529.194755
-0.998094,300,531.634166
-1.063649,300,532.586337
-0.829485,300,533.557457
-1.580048,300,534.581486
53.094351,166,535.093151
52.661669,185,539.575697
53.50307,169,540.156173
-0.678663,300,541.093045
-1.021457,300,542.066967
52.663177,180,542.617171
-1.315137,300,545.012023
-1.326161,300,545.956025
2.755438,300,547.006185
-1.248593,300,550.424875
-0.973326,300,552.970325
53.640103,167,553.527733
-1.042953,300,554.548659
1.147098,300,555.516163
-0.847222,300,556.471319
-1.185994,300,559.029409
-0.755534,300,562.32201
1.642249,300,563.518969
52.321791,171,564.340267
53.447128,174,564.919183
-1.182236,300,567.690235
-0.80709,300,568.88111
1.985515,300,569.777199
