#{"t_start": 1781167132.070826, "env_id": "None"}
r,l,t
2.112628,300,7.828417
-1.129889,300,9.224585
-1.178354,300,10.287693
-2.375075,300,11.507936
-1.172023,300,14.37805
1.819467,300,15.551068
-2.301296,300,19.164273
0.707948,300,20.351933
2.567573,300,23.295765
1.557209,300,24.431982
1.880974,300,25.663643
1.951277,300,26.789465
-1.761475,300,29.641708
-0.95131,300,33.04814
-0.748621,300,33.987233
-1.935358,300,34.834594
53.821973,213,37.289394
-1.63996,300,38.294488
-1.522845,300,39.281727
2.876781,300,40.111946
2.4834,300,43.337333
2.012123,300,46.111221
1.884669,300,47.071893
-0.979625,300,48.160413
-1.455253,300,49.151457
-1.610252,300,51.995439
-1.123558,300,53.280343
-1.22964,300,56.505546
-3.229386,300,57.412409
0.006966,300,60.107249
-1.938976,300,61.032558
-1.544951,300,61.949769
-2.157196,300,62.962539
-0.894156,300,65.524815
52.462554,175,68.396888
2.209373,300,69.441375
1.32062,300,70.276724
-1.930643,300,71.313553
1.388591,300,73.896856
53.612825,256,74.648203
2.058727,300,75.630166
-0.879284,300,79.015524
-2.266911,300,81.611187
51.274429,242,82.404854
-1.209856,300,83.265081
52.708697,183,83.869783
2.018721,300,84.847905
-2.035966,300,87.685582
-0.67805,300,88.682948
53.270584,182,92.157582
-1.518629,300,93.252325
0.847473,300,95.98799
51.687344,217,96.589523
53.364922,187,97.252671
2.66803,300,98.165386
2.891747,300,99.133011
-0.75344,300,101.963992
1.075373,300,105.471153
1.902962,300,106.441956
-1.025617,300,107.390643
52.329961,205,108.082164
-1.414654,300,110.575749
-1.124556,300,111.560984
53.066943,170,112.100964
-1.324556,300,115.867366
1.186397,300,118.453147
2.878984,300,119.394146
-1.130047,300,120.2541
2.693089,300,121.312062
-1.218606,300,123.974459
2.315505,300,124.945635
-1.262872,300,128.174704
53.581526,191,129.047142
3.307302,300,130.104044
1.735899,300,132.925976
0.317657,300,133.882147
53.380505,186,134.448452
-2.393828,300,135.381917
53.907076,169,135.877936
50.782338,260,140.493442
53.309608,193,141.078527
-0.559777,300,142.181205
-0.833854,300,143.021723
-1.425279,300,143.833976
-1.423728,300,146.333257
2.464576,300,147.322867
-2.549428,300,150.917533
-2.021008,300,151.952854
2.500176,300,154.814789
2.97317,300,155.734008
1.65129,300,156.758464
-0.723583,300,157.677557
2.375104,300,160.274616
-1.38054,300,163.809439
52.394659,169,164.479791
-0.975693,300,165.396404
-1.048005,300,166.55069
2.365483,300,169.015278
2.880825,300,170.04247
1.859181,300,170.973981
2.21565,300,174.294602
53.40419,243,176.812261
53.429485,192,177.494388
53.292408,171,178.021923
0.869523,300,178.929365
52.365348,189,179.493896
54.249967,142,179.972674
-1.241084,300,182.927984
-0.883043,300,183.794968
2.916319,300,187.00678
-0.668739,300,188.007367
52.878949,160,190.06123
53.170122,186,190.566775
2.446391,300,191.611217
-1.180351,300,192.587755
1.787024,300,193.509606
-1.344696,300,196.123106
53.988322,168,199.01273
53.156462,215,199.767471
2.946465,300,200.74544
53.278756,192,201.368125
-1.063496,300,204.112954
-0.640739,300,204.987974
-1.239395,300,205.930526
1.754574,300,206.873516
-2.267676,300,211.870408
-1.498795,300,212.727247
-2.326546,300,213.730762
53.110219,153,214.225507
-3.599409,300,215.116682
54.080918,173,217.410819
2.23146,300,218.436321
-0.708125,300,221.844046
-1.66405,300,222.90932
-1.213563,300,223.957972
2.20681,300,226.884828
-0.723079,300,227.777151
-1.749611,300,228.956943
53.19006,178,229.644642
2.860263,300,232.542942
3.010482,300,235.95467
-0.808628,300,237.065075
-0.767493,300,238.265594
-0.53277,300,240.914283
-0.798091,300,241.887464
-0.669196,300,243.103694
1.264096,300,244.122406
-1.210752,300,249.259379
-1.237611,300,250.183592
-0.982973,300,251.308664
53.702228,172,251.842779
53.979233,177,252.387444
2.617846,300,255.043233
53.908592,214,255.724505
53.192017,163,256.282706
-1.161953,300,259.73465
53.875953,168,260.367625
-0.731478,300,261.54363
3.114885,300,264.129702
51.949839,184,264.729489
53.805396,172,265.292113
-0.871217,300,266.345847
53.146232,167,266.862963
-2.480965,300,272.096304
53.961255,173,272.799056
-0.772608,300,273.960158
-1.388029,300,274.878387
1.994445,300,275.853373
1.896455,300,278.56319
3.187757,300,279.528716
2.355236,300,280.485164
53.008677,225,283.691233
-1.34779,300,286.652004
-0.98655,300,287.657977
-0.905638,300,288.807022
2.273015,300,289.711742
2.596529,300,292.369093
2.603987,300,293.29832
-0.988855,300,296.746075
2.324932,300,297.528123
-0.881761,300,298.408063
2.137294,300,301.19726
52.599782,166,301.661351
4.018631,300,302.60288
0.927229,300,303.552393
-0.749329,300,308.640982
-1.072867,300,309.690659
53.691202,162,310.188234
1.543143,300,311.263807
51.16654,229,312.162394
-0.412094,300,314.897607
1.792329,300,315.729502
50.208349,257,316.354415
-1.390221,300,319.66891
52.05894,281,322.594564
51.936608,294,323.751784
1.858541,300,324.916597
51.74639,187,325.643793
-1.905686,300,326.613881
-3.151494,300,329.370169
1.514177,300,332.818445
