#{"t_start": 1781167131.963434, "env_id": "None"}
r,l,t
-0.765956,300,7.934143
-1.45664,300,9.330762
53.281588,243,10.182515
1.924878,300,11.394351
2.669973,300,14.294471
2.51314,300,15.444253
52.424448,171,16.144517
2.516378,300,19.749127
-1.279366,300,22.681091
1.489585,300,23.886488
52.869555,256,24.896232
-1.147582,300,26.04165
52.436659,214,26.853026
-2.249619,300,29.701557
-1.133727,300,33.109242
53.815175,171,33.639758
52.69559,209,34.278505
1.69757,300,35.108991
0.180245,300,37.873134
-3.412084,300,38.9169
1.0035,300,39.746456
-1.185113,300,40.704515
-1.198469,300,45.781385
1.095642,300,46.756093
2.328066,300,47.655736
-1.27411,300,48.856458
-0.903445,300,51.525185
-0.970173,300,52.670987
1.576608,300,53.849065
-1.204864,300,57.115456
3.083229,300,59.702647
-1.53702,300,60.658837
53.560098,272,61.487915
3.653761,300,62.474377
-0.75581,300,63.434661
2.209473,300,65.961062
-1.628276,300,69.393403
0.959167,300,70.249184
-2.88851,300,71.29421
-0.720064,300,73.860171
-0.848774,300,74.723303
-1.591596,300,75.709234
0.615581,300,79.104232
-1.551399,300,81.700896
-0.965461,300,82.6359
-0.581709,300,83.500555
2.66392,300,84.505585
0.611603,300,87.284735
2.278311,300,88.339846
-1.025865,300,92.213225
1.882909,300,93.311277
52.499252,190,94.034885
-0.953728,300,96.581948
53.464975,197,97.243613
53.968485,190,97.909976
52.862153,193,98.454749
-1.214327,300,99.360688
-0.753274,300,104.836499
1.92018,300,105.739591
-1.492285,300,106.669401
-1.101008,300,107.667694
1.078128,300,110.149737
2.219674,300,111.165202
2.545802,300,112.082644
53.945571,183,112.757097
53.550657,197,116.182933
2.213439,300,118.707334
-0.864894,300,119.675259
-0.524454,300,120.512974
52.885247,230,121.374835
-2.339969,300,124.033087
53.791983,193,124.662161
52.022106,191,125.293745
-3.317913,300,128.521425
2.931633,300,129.810256
53.735892,138,130.255623
-1.584818,300,133.093351
52.871865,212,133.773681
2.435405,300,134.706695
-0.725039,300,135.613598
0.934444,300,140.324321
53.170411,198,140.904255
0.672382,300,141.99535
-1.235528,300,142.91452
-1.180111,300,143.752897
1.442269,300,146.205838
2.338774,300,147.173465
3.697263,300,148.253435
0.565566,300,151.7484
