#{"t_start": 1781167132.099595, "env_id": "None"}
r,l,t
3.256937,300,7.799918
-1.186051,300,9.196173
-1.096837,300,10.259226
53.23931,197,11.098186
53.405253,174,13.523294
-1.040248,300,14.606249
-3.510246,300,15.824445
-1.501873,300,19.401346
2.985402,300,20.648287
3.119455,300,23.518184
1.132117,300,24.768353
53.592785,190,25.497738
1.090501,300,26.651559
2.781482,300,29.492784
-1.066245,300,32.903943
0.927064,300,33.83811
-1.502071,300,34.719424
1.832627,300,37.418926
1.276363,300,38.41882
-1.418523,300,39.353345
-1.04452,300,40.223298
-1.112107,300,45.308189
0.994575,300,46.254721
-0.768112,300,47.215596
-1.455475,300,48.350008
-2.526385,300,49.317342
1.514919,300,52.142695
53.732387,178,52.981558
-1.188689,300,56.241399
53.351957,193,56.893866
-0.949387,300,57.840086
2.300286,300,60.439944
0.998712,300,61.339246
-1.309005,300,62.32854
-0.881953,300,63.286147
53.639844,176,65.47987
-1.087231,300,68.728598
1.965744,300,69.729017
-1.594044,300,70.762475
-1.260439,300,73.266283
1.806588,300,74.202652
3.165902,300,75.201718
1.6804,300,76.130242
-1.161119,300,81.286651
0.965792,300,82.134714
-1.892169,300,83.034972
-0.50485,300,83.987453
-0.794022,300,84.933215
-1.477635,300,87.773495
2.20166,300,88.835577
-1.299421,300,92.720341
-1.558274,300,93.847921
53.158029,183,96.087953
-2.00204,300,97.006539
1.664196,300,97.953512
53.599353,197,98.57401
-1.644819,300,99.466614
53.964532,172,101.946841
-1.845654,300,105.45524
-2.533713,300,106.42475
-0.618905,300,107.401632
53.213857,238,108.178941
0.025514,300,110.656099
50.716015,284,111.581613
2.180723,300,112.602012
0.553231,300,116.355391
-0.805165,300,118.905756
-1.553946,300,119.789001
1.115,300,120.747487
-2.198056,300,121.747143
53.545126,161,123.991787
2.485161,300,124.949608
-3.671236,300,128.178937
-1.756,300,129.459458
-1.798587,300,130.644923
-1.11616,300,133.305838
-0.867121,300,134.259252
-0.789739,300,135.190712
0.597166,300,136.072441
53.414608,160,140.350697
2.128081,300,141.332034
2.340506,300,142.380584
-1.481713,300,143.201627
2.235439,300,145.546459
-1.848547,300,146.558586
1.652006,300,147.53529
53.388808,255,151.017825
-1.644883,300,152.040816
0.107165,300,154.86194
-1.203851,300,155.832035
2.174472,300,156.821072
-1.026275,300,157.718652
1.482571,300,160.327979
-2.081121,300,163.889552
-5.10445,300,165.011579
51.696406,260,165.808496
-1.19403,300,168.427598
53.203089,285,169.312395
-2.349702,300,170.343787
-4.607974,300,171.261361
1.962271,300,176.364178
-0.934241,300,177.362966
2.072721,300,178.272543
2.751584,300,179.193887
2.825412,300,181.96208
-1.070034,300,183.091623
53.286548,210,183.689684
-1.472377,300,186.920042
2.508529,300,187.925702
-1.940183,300,190.320274
2.350438,300,191.367894
2.613022,300,192.326764
2.017846,300,193.271074
0.425504,300,195.893578
53.834143,197,198.879418
-1.303102,300,199.880466
