#{"t_start": 1781167131.9304278, "env_id": "None"}
r,l,t
-1.877638,300,418.986836
-1.915182,300,421.716201
2.757661,300,422.70362
53.022224,199,423.426096
53.271354,187,424.064289
1.678149,300,426.51792
-2.290285,300,427.370348
1.73427,300,431.06377
51.767676,221,431.830192
-1.446058,300,432.863778
-0.505059,300,435.710418
52.828239,210,436.402416
1.18513,300,437.451599
-1.29169,300,438.339782
52.886095,180,438.87453
-1.668799,300,444.08176
53.48692,181,444.629418
53.127651,182,445.260369
52.571447,171,446.082757
53.436749,189,446.660216
-0.838282,300,447.630319
-1.037183,300,450.217277
0.909969,300,451.173469
1.849939,300,454.346837
53.074823,213,454.986155
-1.426343,300,457.647494
53.026646,187,458.335617
1.865007,300,459.340119
51.409563,259,460.335545
-2.340978,300,461.352016
-1.882857,300,464.432761
2.40767,300,467.725729
-1.120722,300,468.697939
53.132176,214,469.334365
52.781697,213,471.580953
3.942072,300,472.547142
53.677528,176,473.277817
53.877216,212,474.035432
52.576281,210,474.936127
-1.896909,300,478.503465
2.55127,300,481.174899
-0.971068,300,482.215205
2.273441,300,483.292992
52.105418,279,484.195643
1.454828,300,486.879043
-0.668469,300,488.067971
-1.280675,300,491.53951
-1.174273,300,492.520879
53.471096,160,494.672451
1.696637,300,495.777798
-1.303993,300,496.895942
53.382673,163,497.402634
2.251151,300,498.430577
-2.012446,300,501.0809
-1.748764,300,504.429538
-1.636932,300,505.455311
-1.680943,300,506.440368
-1.477387,300,508.982953
-0.618928,300,510.119254
52.998071,182,510.774983
53.825904,180,511.314359
51.400344,189,511.944643
53.609014,168,514.940505
1.23923,300,517.581262
-1.333222,300,518.609945
53.74845,176,519.176301
-1.273052,300,520.187876
53.750493,168,520.914663
52.974718,187,523.018252
-0.924888,300,524.142321
53.971126,146,524.664483
3.088721,300,528.111697
53.372561,196,528.757045
2.011779,300,531.311416
-1.03323,300,532.207365
-0.958775,300,533.155983
-1.165738,300,534.18643
2.453366,300,535.127854
2.045306,300,539.99589
-1.177857,300,540.961935
-1.619049,300,541.885656
-1.045219,300,542.843808
3.05973,300,545.258077
-1.503229,300,546.210824
-1.287106,300,547.217592
-1.298543,300,550.690745
-1.548194,300,553.214334
53.503151,225,553.967843
-1.043417,300,554.95652
0.258969,300,555.912726
-1.019043,300,558.36537
-0.832257,300,559.402829
2.656896,300,562.783535
2.028397,300,564.164238
-1.862007,300,565.25085
4.108869,300,568.0814
1.718261,300,569.160571
53.692012,163,569.607667
-0.878699,300,570.609477
-1.394363,300,575.651532
-1.491354,300,576.886533
-1.129981,300,578.152482
-2.487245,300,579.186376
2.420347,300,581.692451
-3.968192,300,582.480307
3.50297,300,583.350635
-1.65505,300,586.721917
-1.417706,300,589.379149
-1.145869,300,590.38501
-1.092102,300,591.415358
1.965272,300,592.37704
53.216329,169,592.84147
-1.656751,300,595.380945
-1.04015,300,598.652148
-1.473953,300,599.747917
53.230928,179,600.442111
1.506542,300,601.695145
-1.638514,300,604.38981
1.247548,300,605.612179
2.002393,300,606.583242
2.560879,300,610.071712
53.452797,194,612.325147
-1.137948,300,613.421568
-1.47728,300,614.400555
-2.049999,300,615.652159
-2.006134,300,618.315821
-1.072871,300,619.356327
0.715297,300,620.310069
-1.924887,300,623.708863
2.042459,300,626.29314
53.494705,156,626.750891
-1.02874,300,627.898923
-2.457926,300,628.915247
-1.642455,300,629.922536
53.42443,169,630.621998
-1.010253,300,635.588542
53.519039,165,636.132682
-0.499626,300,637.123912
-1.246804,300,638.170014
52.9741,177,638.734172
