#{"t_start": 1781167132.029883, "env_id": "None"}
r,l,t
-1.296862,300,7.868701
-1.404719,300,9.265072
2.000512,300,10.328062
53.69827,178,11.107329
53.863753,206,13.627814
-1.284997,300,14.722731
-1.73762,300,15.943295
-1.155993,300,19.520728
53.834355,160,20.222226
-1.532033,300,23.165665
-1.188334,300,24.286657
1.636397,300,25.507914
-1.981034,300,26.668573
53.22959,180,27.229013
-1.938882,300,30.058988
1.095816,300,33.488962
-1.144179,300,34.428419
-1.09982,300,35.196072
1.901766,300,38.054668
-1.059004,300,39.058985
-1.065881,300,39.827684
-1.044372,300,40.765606
-1.068467,300,45.885487
-1.575915,300,46.852962
-0.661786,300,47.837045
1.528452,300,48.949799
1.447159,300,51.672756
-0.774981,300,52.972201
-1.257453,300,56.273528
1.242224,300,57.20852
2.042818,300,59.84917
0.222906,300,60.775836
-0.771627,300,61.687599
1.405985,300,62.657313
1.953894,300,65.276463
2.199824,300,68.532016
52.707846,179,69.218908
-1.40393,300,70.070249
-0.977835,300,71.126088
53.588688,175,73.230896
53.625546,173,73.839174
-0.88236,300,74.712427
54.148311,162,75.282812
2.245781,300,76.212573
-2.106966,300,81.37126
0.929043,300,82.217815
-1.295692,300,83.120021
2.625208,300,84.072903
-1.453613,300,85.016073
53.305989,212,87.544693
-0.953566,300,88.566479
-0.686977,300,92.467505
2.280259,300,93.566671
-0.590368,300,96.267931
1.858343,300,97.183481
2.311418,300,98.108438
-1.417745,300,99.095046
-2.452511,300,101.91467
-1.820708,300,105.425607
-1.475668,300,106.401286
52.838269,211,106.979499
-1.208651,300,108.058767
0.974729,300,110.510592
2.445745,300,111.541996
2.027012,300,112.52023
1.775934,300,116.286758
53.422187,214,118.544046
2.27233,300,119.498273
-1.234137,300,120.349658
-0.818716,300,121.409561
-1.012255,300,124.078707
-4.390559,300,125.039996
-3.965246,300,128.26551
-0.679229,300,129.57928
-2.004038,300,130.74441
-1.688886,300,133.393963
53.658382,167,133.911171
-1.246492,300,134.870197
2.195483,300,135.745177
2.025403,300,140.458577
-1.034983,300,141.443062
-0.212991,300,142.487889
1.333318,300,143.310092
-1.270987,300,145.671992
-1.048252,300,146.685051
2.646931,300,147.666014
-2.286154,300,151.309838
52.520049,174,151.849537
-1.443855,300,154.731973
-1.708712,300,155.639434
-2.179647,300,156.656666
-1.106708,300,157.583355
53.541221,178,159.851944
53.956318,169,160.340647
50.731374,219,163.674393
-1.246895,300,164.69134
-1.261421,300,165.653888
-0.720899,300,168.297135
3.115659,300,169.24529
2.061704,300,170.272241
53.860588,192,170.846334
2.680638,300,171.834984
52.705566,192,176.553579
53.668887,187,177.156222
-2.53329,300,178.129073
-1.497893,300,179.041203
-1.321078,300,179.993491
2.60655,300,182.941457
-0.651454,300,183.80949
53.29374,198,186.743321
-2.895049,300,187.668316
-0.946164,300,190.176366
-1.441598,300,191.153548
52.819357,171,191.710404
2.234499,300,192.666465
2.775858,300,193.596517
-0.988669,300,196.20556
53.798564,183,199.178644
-0.93103,300,200.181061
4.014829,300,201.206786
54.091391,165,201.745062
2.315,300,204.40073
1.617314,300,205.293855
2.569248,300,206.259048
-0.721936,300,209.501408
53.412886,181,211.841109
-1.490324,300,212.671902
2.468758,300,213.655518
0.6576,300,214.57938
-1.864425,300,215.584006
52.441454,189,217.913906
-1.240468,300,218.935598
53.578871,190,221.940248
53.315648,200,222.597332
-0.928188,300,223.712021
-1.688275,300,226.642348
-0.9536,300,227.505479
-1.343811,300,228.688854
3.005669,300,229.827317
53.298818,175,232.308386
-1.537746,300,235.760389
-0.993996,300,236.84739
1.946669,300,238.030068
53.424895,166,238.586861
-1.28582,300,241.218878
1.956159,300,242.31408
0.571378,300,243.43984
54.047566,170,243.998933
-1.900593,300,247.310291
53.476549,161,249.63877
-0.959715,300,250.71814
-1.363307,300,251.708492
-0.835795,300,252.647515
52.1382,172,253.280956
-1.164336,300,255.855299
-1.501228,300,259.235144
54.10544,161,259.844696
53.399719,149,260.428887
53.248548,193,261.227388
54.153167,154,261.739441
2.695019,300,264.336015
2.870027,300,265.321428
-1.492057,300,266.374095
53.000083,149,266.836582
52.830635,182,267.48435
-1.430287,300,272.799253
-1.209313,300,273.964698
53.743436,166,274.479214
1.225128,300,275.440679
52.345596,179,276.007165
52.496213,173,278.266038
1.741539,300,279.305213
2.041993,300,280.193014
-1.121844,300,283.644173
-2.548214,300,286.636425
-1.303268,300,287.640038
53.409375,169,288.309453
2.681567,300,289.258146
-0.927554,300,290.251494
-0.604502,300,292.906514
-5.592013,300,296.334887
53.447358,167,296.827864
-1.116082,300,297.613104
-0.651421,300,298.5023
1.160298,300,301.280268
1.401984,300,302.163981
2.828688,300,303.110077
2.821914,300,304.099021
53.1939,163,308.722014
-1.075088,300,309.773513
-1.158155,300,310.788278
0.686913,300,311.956764
52.860256,168,312.466428
-1.108635,300,315.191518
-1.962423,300,315.994582
-1.743871,300,319.068288
52.624662,186,319.765704
-0.825618,300,322.77789
-0.871908,300,323.951391
2.592519,300,325.098239
1.728207,300,326.16183
2.072522,300,328.997758
-1.62002,300,332.307781
-2.341394,300,333.391247
-1.100633,300,334.551143
-1.550854,300,335.509487
0.839511,300,338.484846
-0.77491,300,339.561469
52.801573,206,340.198176
2.57105,300,341.275071
1.072305,300,346.667754
52.799895,171,347.353251
52.858968,191,347.967278
-0.885921,300,348.851435
2.547276,300,349.912828
2.689685,300,352.715766
1.534934,300,353.721175
52.912122,170,354.387405
52.170123,189,357.347355
53.777384,188,357.989569
53.222985,171,358.549407
1.309273,300,361.348009
52.176409,179,362.153001
53.051525,194,363.14104
1.893408,300,364.181752
52.820387,168,365.061892
-1.022417,300,368.234284
0.920155,300,371.790974
1.305215,300,372.79946
0.266739,300,373.784775
53.852671,162,374.331599
-1.011553,300,376.792437
-4.043226,300,377.792758
0.487395,300,378.637832
53.414029,168,379.194102
