#{"t_start": 1781167132.0495749, "env_id": "None"}
r,l,t
-2.093794,300,7.84939
1.210996,300,9.245603
1.465336,300,10.308688
-1.294099,300,11.52874
-0.716595,300,14.399004
1.908986,300,15.572106
2.118941,300,19.185266
-1.584269,300,20.372914
-2.123802,300,23.316767
-1.168979,300,24.452998
1.690393,300,25.684662
53.325121,199,26.462465
-1.327343,300,29.285915
2.42694,300,32.736086
-1.148991,300,33.706338
2.522395,300,34.612199
-1.760874,300,35.435855
-1.064232,300,38.282944
-1.160784,300,39.269487
53.633243,214,39.783664
2.270951,300,40.721579
51.812653,238,45.646634
53.366971,202,46.283375
-1.220731,300,47.242315
-0.703652,300,48.34352
-2.790269,300,49.333541
-1.650328,300,52.153201
2.388677,300,53.402901
-1.128671,300,56.670894
0.290473,300,57.561979
-0.982508,300,60.261838
-1.194062,300,61.166986
2.124458,300,62.147336
-1.732136,300,63.111076
-0.95839,300,65.654445
53.939175,185,68.551994
1.756858,300,69.580946
-0.258962,300,70.460196
-0.790079,300,71.474956
2.922744,300,74.064611
52.250117,244,74.818652
-0.615206,300,75.767504
1.767188,300,79.120364
-2.604476,300,81.714212
-1.563158,300,82.736925
53.459834,174,83.213208
53.474893,183,83.805789
-0.733352,300,84.780078
-0.724201,300,87.572038
53.526265,159,88.109401
3.470996,300,91.974389
53.508574,167,92.60122
52.86834,180,93.251852
0.74705,300,95.99089
54.19035,177,96.486051
2.166713,300,97.519854
1.984189,300,98.413705
1.028498,300,99.313336
-1.213547,300,104.80261
1.599925,300,105.704947
-2.230878,300,106.624243
-1.255104,300,107.625739
0.118209,300,110.106574
53.667472,167,110.682715
53.268936,183,111.366947
1.581646,300,112.275906
1.230323,300,116.051227
-1.142135,300,118.577638
0.028503,300,119.535946
-1.270789,300,120.389859
-1.483283,300,121.453453
52.706858,217,122.152041
-1.173268,300,124.832112
-0.62248,300,128.080271
-1.919944,300,129.282331
-1.150678,300,130.347446
53.820603,158,132.620063
0.481326,300,133.679202
0.997834,300,134.611558
-2.835736,300,135.520576
-1.623406,300,140.226619
2.313691,300,141.151204
1.307238,300,142.243435
-1.350585,300,143.09698
2.399905,300,143.902208
2.263479,300,146.406106
53.042826,187,147.050973
1.988028,300,148.130316
-1.009406,300,151.621867
-1.016801,300,154.554042
52.615703,163,155.012593
2.258744,300,156.014135
2.871609,300,157.009451
-0.76077,300,157.891093
1.73237,300,160.486381
3.205447,300,164.073973
2.928471,300,165.168651
-1.531777,300,166.154389
1.242182,300,168.757748
-3.147334,300,169.649755
53.371899,169,170.279097
0.283068,300,171.181648
-1.390537,300,176.285149
2.024353,300,177.313379
-2.005994,300,178.222287
-1.944313,300,179.146156
53.79524,167,179.66862
2.66834,300,182.583491
2.265722,300,183.523999
-1.323038,300,186.742427
53.82082,208,187.350993
53.428254,181,187.996748
52.13474,224,190.198853
52.292505,174,190.781739
53.471882,202,191.442316
-0.964401,300,192.416828
2.188,300,193.345301
1.412834,300,195.972908
2.821318,300,199.300359
-1.045004,300,200.304661
-1.732764,300,201.299534
-1.767522,300,204.056691
1.78728,300,204.923891
-0.888525,300,205.872527
-1.73492,300,206.79597
2.831105,300,211.800859
-0.936457,300,212.637697
-0.631419,300,213.62461
-0.981359,300,214.550566
1.545055,300,215.551832
2.901615,300,218.290321
53.915149,153,218.761815
54.012877,156,219.321372
1.199344,300,222.672378
53.482084,162,223.313683
3.078418,300,226.215058
1.924524,300,227.16482
-1.04517,300,228.258129
-0.544448,300,229.392946
-2.130877,300,232.324344
-1.359586,300,235.774821
-0.785257,300,236.875637
1.269012,300,238.052097
52.52589,216,238.752163
-0.712888,300,241.383106
51.603224,189,242.073052
52.561668,191,242.840336
2.904492,300,243.898342
2.820566,300,247.167882
2.539215,300,249.960893
-0.60648,300,251.119867
53.24784,165,251.601407
