_step,train/loss,train/l1_loss,train/kld_loss
200,8.083668812513352,0.401518315076828,0.22308747470378876
400,2.246131671667099,0.310660719871521,0.1682247817516327
600,1.771192768216133,0.26216503977775574,0.13045024871826172
800,1.4539605116844176,0.2530399560928345,0.10776487737894058
1000,1.2053111517429351,0.21669979393482208,0.0893460214138031
1000,1.2053111517429351,0.21669979393482208,0.0893460214138031
1200,0.9920030415058136,0.20292097330093384,0.06923428177833557
1400,0.8274313920736313,0.2090310901403427,0.055056989192962646
1600,0.6913744986057282,0.193694606423378,0.04266437143087387
1800,0.5830936709046364,0.18442247807979584,0.036446720361709595
2000,0.49360968723893167,0.1707121729850769,0.0271853469312191
2000,0.49360968723893167,0.1707121729850769,0.0271853469312191
2200,0.4198551847040653,0.1558559536933899,0.021003831177949905
2400,0.36572798088192937,0.1588946133852005,0.020351221784949303
2600,0.32227531671524046,0.1438244730234146,0.01451205275952816
2800,0.28800719514489176,0.13926544785499573,0.01341116800904274
3000,0.26387046054005625,0.14615347981452942,0.010513575747609138
3000,0.26387046054005625,0.14615347981452942,0.010513575747609138
3200,0.24120176889002323,0.13189296424388885,0.010457433760166168
3400,0.22597589686512948,0.1389007717370987,0.007967861369252205
3600,0.21228169329464436,0.13451792299747467,0.006774229928851128
3800,0.200968451872468,0.1309611052274704,0.00855843536555767
4000,0.1914319808781147,0.12122455984354019,0.005636925809085369
4000,0.1914319808781147,0.12122455984354019,0.005636925809085369
4200,0.18153311893343926,0.11939234286546707,0.006097691133618355
4400,0.17474532693624498,0.11484914273023605,0.005362276919186115
4600,0.1680360494554043,0.11096068471670151,0.004518516361713409
4800,0.16084817700088025,0.11907891184091568,0.00460108183324337
5000,0.1555288941413164,0.11936773359775543,0.0038943272083997726
5000,0.1555288941413164,0.11936773359775543,0.0038943272083997726
5200,0.14966329619288443,0.10347671061754227,0.003583887591958046
5400,0.1459829667210579,0.10645544528961182,0.0042568957433104515
5600,0.14086360052227975,0.10236114263534546,0.003169957548379898
5800,0.1371658620610833,0.10439915210008621,0.002907637506723404
6000,0.13411903481930496,0.10701392590999603,0.0029671387746930122
6000,0.13411903481930496,0.10701392590999603,0.0029671387746930122
6200,0.13118228044360877,0.09454970806837082,0.00239426176995039
6400,0.1271113035082817,0.09086229652166367,0.0026502329856157303
6600,0.1246542239934206,0.09831419587135315,0.002134622074663639
6800,0.12082915157079696,0.10181891173124313,0.0019427267834544182
7000,0.11908650532364845,0.09792877733707428,0.0017870021983981133
7000,0.11908650532364845,0.09792877733707428,0.0017870021983981133
7200,0.11709333557635546,0.093971848487854,0.0021258173510432243
7400,0.11393753435462713,0.09412790089845657,0.0019470704719424248
7600,0.11168130874633789,0.09550128132104874,0.0018092179670929909
7800,0.10939772117882968,0.09140022099018097,0.002036280930042267
8000,0.10816319420933723,0.0917939692735672,0.0018227817490696907
8000,0.10816319420933723,0.0917939692735672,0.0018227817490696907
8200,0.10551711946725845,0.0860377624630928,0.001409195363521576
8400,0.10357156943529844,0.08509992808103561,0.0014224033802747726
8600,0.10172787114977837,0.07993724197149277,0.0011765314266085625
8800,0.09964428037405014,0.0827832743525505,0.0012709973379969597
9000,0.09940864477306605,0.08239065110683441,0.0012234421446919441
9000,0.09940864477306605,0.08239065110683441,0.0012234421446919441
