_step,train/losses_after_in_ep_bound,train/losses_after_forward,train/loss,train/losses_after_rm_padding
200,0.18689492344856262,0.1886555254459381,0.19647297263145447,0.18689492344856262
400,0.16712486743927002,0.16891296207904816,0.17732080817222595,0.16712486743927002
600,0.15427075326442719,0.15427075326442719,0.154270738363266,0.15427075326442719
800,0.11777886003255844,0.11789694428443909,0.11881851404905319,0.11777886003255844
1000,0.093262679874897,0.09565094858407974,0.10553061217069626,0.093262679874897
1000,0.093262679874897,0.09565094858407974,0.10553061217069626,0.093262679874897
1200,0.15195435285568237,0.15466627478599548,0.16584375500679016,0.15195435285568237
1400,0.11982780694961548,0.12116656452417374,0.1281580775976181,0.11982780694961548
1600,0.11344828456640244,0.11706932634115219,0.11546899378299713,0.11344828456640244
1800,0.09360068291425705,0.0969494879245758,0.09775528311729431,0.09360068291425705
2000,0.0886579379439354,0.09018692374229431,0.09905914217233658,0.0886579379439354
2000,0.0886579379439354,0.09018692374229431,0.09905914217233658,0.0886579379439354
2200,0.10795073211193085,0.10938604176044464,0.1120111346244812,0.10795073211193085
2400,0.09054076671600342,0.09113705158233643,0.09191955626010895,0.09054076671600342
2600,0.09970883280038834,0.1001637652516365,0.10413455218076706,0.09970883280038834
2800,0.09880983084440231,0.09880983084440231,0.09880983084440231,0.09880983084440231
3000,0.07936181873083115,0.07936181873083115,0.07936181128025055,0.07936181873083115
3000,0.07936181873083115,0.07936181873083115,0.07936181128025055,0.07936181873083115
3200,0.09091410785913467,0.0912005603313446,0.09265131503343582,0.09091410785913467
3400,0.05392424389719963,0.05511314049363136,0.06136471405625343,0.05392424389719963
3600,0.05738925561308861,0.05738925561308861,0.05738925188779831,0.05738925561308861
3800,0.04975856840610504,0.05040879547595978,0.052724309265613556,0.04975856840610504
4000,0.033299364149570465,0.03505334630608559,0.03789401426911354,0.033299364149570465
4000,0.033299364149570465,0.03505334630608559,0.03789401426911354,0.033299364149570465
4200,0.05407718941569328,0.05471010506153107,0.057073548436164856,0.05407718941569328
4400,0.06281669437885284,0.06335403770208359,0.06709393113851547,0.06281669437885284
4600,0.07476892322301865,0.07717897742986679,0.08094064146280289,0.07476892322301865
4800,0.04243642836809158,0.04585672914981842,0.044846951961517334,0.04243642836809158
5000,0.05325605347752571,0.05412677302956581,0.05643025413155556,0.05325605347752571
5000,0.05325605347752571,0.05412677302956581,0.05643025413155556,0.05325605347752571
5200,0.033353596925735474,0.033528607338666916,0.033990927040576935,0.033353596925735474
5400,0.04936616122722626,0.05045415088534355,0.05417411029338837,0.04936616122722626
5600,0.0777919664978981,0.07816711068153381,0.08231953531503677,0.0777919664978981
5800,0.0338650643825531,0.034164123237133026,0.034912437200546265,0.0338650643825531
6000,0.06094895675778389,0.06266903877258301,0.07266641408205032,0.06094895675778389
6000,0.06094895675778389,0.06266903877258301,0.07266641408205032,0.06094895675778389
6200,0.030890680849552155,0.031482163816690445,0.03308238834142685,0.030890680849552155
6400,0.06510183960199356,0.06544697284698486,0.06944195926189423,0.06510183960199356
6600,0.031313374638557434,0.031828030943870544,0.03179022669792175,0.031313374638557434
6800,0.06894402951002121,0.06894402951002121,0.06894402951002121,0.06894402951002121
7000,0.019414188340306282,0.019984113052487373,0.02035563625395298,0.019414188340306282
7000,0.019414188340306282,0.019984113052487373,0.02035563625395298,0.019414188340306282
7200,0.039366215467453,0.039841316640377045,0.04122116416692734,0.039366215467453
7400,0.017001759260892868,0.017281662672758102,0.0183060672134161,0.017001759260892868
7600,0.04077324643731117,0.040889739990234375,0.04139415919780731,0.04077324643731117
7800,0.059799425303936005,0.05995534360408783,0.06156954914331436,0.059799425303936005
8000,0.02258063107728958,0.02274862304329872,0.02336934581398964,0.02258063107728958
8000,0.02258063107728958,0.02274862304329872,0.02336934581398964,0.02258063107728958
8200,0.05659841001033783,0.06000932306051254,0.062025655061006546,0.05659841001033783
8400,0.027244068682193756,0.030462093651294708,0.030784258618950844,0.027244068682193756
8600,0.05221671611070633,0.052432604134082794,0.05547592416405678,0.05221671611070633
8800,0.029800500720739365,0.029800500720739365,0.029800500720739365,0.029800500720739365
9000,0.03223006799817085,0.03330851346254349,0.03512813523411751,0.03223006799817085
9000,0.03223006799817085,0.03330851346254349,0.03512813523411751,0.03223006799817085
9200,0.034509409219026566,0.034726787358522415,0.03623034805059433,0.034509409219026566
9400,0.020672593265771866,0.020678717643022537,0.020698465406894684,0.020672593265771866
9600,0.016446908935904503,0.01667841337621212,0.017358213663101196,0.016446908935904503
9800,0.02239321731030941,0.023641159757971764,0.024743886664509773,0.02239321731030941
10000,0.023438291624188423,0.02349848859012127,0.02394716814160347,0.023438291624188423
10000,0.023438291624188423,0.02349848859012127,0.02394716814160347,0.023438291624188423
10200,0.039343882352113724,0.039343882352113724,0.039343882352113724,0.039343882352113724
10400,0.03474573418498039,0.03474573418498039,0.03474573418498039,0.03474573418498039
10600,0.031067684292793274,0.031067684292793274,0.031067682430148125,0.031067684292793274
10800,0.04114263504743576,0.04207831621170044,0.04812004044651985,0.04114263504743576
11000,0.04503050446510315,0.0465080700814724,0.04996449872851372,0.04503050446510315
11000,0.04503050446510315,0.0465080700814724,0.04996449872851372,0.04503050446510315
