_step,train/losses_after_forward,train/losses_after_rm_padding,train/losses_after_in_ep_bound,train/loss
200,0.21925587952136993,0.21607668697834015,0.21607668697834015,0.22925908863544464
400,0.21454745531082153,0.21301694214344025,0.21301694214344025,0.2148972898721695
600,0.14745301008224487,0.14082080125808716,0.14082080125808716,0.15690338611602783
800,0.21785537898540497,0.2134818285703659,0.2134818285703659,0.23267774283885956
1000,0.10746528953313828,0.10681403428316116,0.10681403428316116,0.11288140714168549
1000,0.10746528953313828,0.10681403428316116,0.10681403428316116,0.11288140714168549
1200,0.12069883197546005,0.1145925298333168,0.1145925298333168,0.12750211358070374
1400,0.11959061026573181,0.11698172241449356,0.11698172241449356,0.12663786113262177
1600,0.11551255732774734,0.11000771820545197,0.11000771820545197,0.1255437582731247
1800,0.09692522883415222,0.09147258847951889,0.09147258847951889,0.10667356848716736
2000,0.08563985675573349,0.08236565440893173,0.08236565440893173,0.08681491762399673
2000,0.08563985675573349,0.08236565440893173,0.08236565440893173,0.08681491762399673
2200,0.09701429307460785,0.09176254272460938,0.09176254272460938,0.10973099619150162
2400,0.10162270069122314,0.09728794544935226,0.09728794544935226,0.10461068898439407
2600,0.10420568287372589,0.10366953164339066,0.10366953164339066,0.10742956399917603
2800,0.054927192628383636,0.05353620648384094,0.05353620648384094,0.05547793209552765
3000,0.061929602175951004,0.06184333935379982,0.06184333935379982,0.06270553916692734
3000,0.061929602175951004,0.06184333935379982,0.06184333935379982,0.06270553916692734
3200,0.11578010767698288,0.11578010767698288,0.11578010767698288,0.11578010767698288
3400,0.0686534121632576,0.06735685467720032,0.06735685467720032,0.07321397215127945
3600,0.03965932875871658,0.038435198366642,0.038435198366642,0.0412173718214035
3800,0.06895779073238373,0.05004550889134407,0.05004550889134407,0.05931319296360016
4000,0.038687847554683685,0.03458524867892265,0.03458524867892265,0.037643805146217346
4000,0.038687847554683685,0.03458524867892265,0.03458524867892265,0.037643805146217346
4200,0.046886783093214035,0.04465362802147865,0.04465362802147865,0.05230293422937393
4400,0.06522753834724426,0.06522753834724426,0.06522753834724426,0.06522753834724426
4600,0.07454134523868561,0.07277418673038483,0.07277418673038483,0.07846273481845856
4800,0.0648544430732727,0.06140335276722908,0.06140335276722908,0.08132894337177277
5000,0.09534113109111786,0.06087540462613106,0.06087540462613106,0.06416379660367966
5000,0.09534113109111786,0.06087540462613106,0.06087540462613106,0.06416379660367966
5200,0.03292245790362358,0.03219020739197731,0.03219020739197731,0.03429049998521805
5400,0.05089005455374718,0.050255801528692245,0.050255801528692245,0.05353480949997902
5600,0.0796065703034401,0.07900003343820572,0.07900003343820572,0.08186531066894531
5800,0.030452124774456024,0.02806174010038376,0.02806174010038376,0.030052732676267624
6000,0.061808522790670395,0.06079578399658203,0.06079578399658203,0.0685989111661911
6000,0.061808522790670395,0.06079578399658203,0.06079578399658203,0.0685989111661911
6200,0.030053533613681793,0.02872578427195549,0.02872578427195549,0.03031744994223118
6400,0.05805385857820511,0.05557285621762276,0.05557285621762276,0.06040527671575546
6600,0.021913299337029457,0.01967214234173298,0.01967214234173298,0.022974764928221703
6800,0.0761709213256836,0.07005686312913895,0.07005686312913895,0.0815800353884697
7000,0.0316455215215683,0.031138494610786438,0.031138494610786438,0.03273428976535797
7000,0.0316455215215683,0.031138494610786438,0.031138494610786438,0.03273428976535797
7200,0.03746544197201729,0.03712039813399315,0.03712039813399315,0.03856664523482323
7400,0.035613588988780975,0.035613588988780975,0.035613588988780975,0.035613588988780975
7600,0.028509171679615974,0.027777627110481262,0.027777627110481262,0.02863672934472561
7800,0.06195182353258133,0.06164158135652542,0.06164158135652542,0.06363001465797424
8000,0.024426082149147987,0.023910511285066605,0.023910511285066605,0.024336397647857666
8000,0.024426082149147987,0.023910511285066605,0.023910511285066605,0.024336397647857666
8200,0.0574982650578022,0.05648970603942871,0.05648970603942871,0.05884344130754471
8400,0.02118659019470215,0.02019428461790085,0.02019428461790085,0.021341383457183838
