_step,train/kld_loss,train/loss,train/l1_loss
200,0.3304096460342407,7.048452699184418,0.4944547116756439
400,0.25762686133384705,3.06436851978302,0.5039641261100769
600,0.1779937744140625,2.6082552993297576,0.5027071833610535
800,0.14931240677833557,2.261005987524986,0.41989976167678833
1000,0.1473536193370819,2.0121138417720794,0.3383879065513611
1000,0.1473536193370819,2.0121138417720794,0.3383879065513611
1200,0.13832908868789673,1.852278704047203,0.33302751183509827
1400,0.13709786534309387,1.6899424147605897,0.38028812408447266
1600,0.09684892743825912,1.5604576516151427,0.2323634922504425
1800,0.09524419158697128,1.4061787682771683,0.2846345901489258
2000,0.09131419658660889,1.280313681960106,0.2554202675819397
2000,0.09131419658660889,1.280313681960106,0.2554202675819397
2200,0.07286021113395691,1.1644812422990798,0.2836548089981079
2400,0.06611236929893494,1.065621086061001,0.2581324875354767
2600,0.06523613631725311,0.9704638966917991,0.2441403567790985
2800,0.055311333388090134,0.8894188341498375,0.23991164565086365
3000,0.05293993279337883,0.8039399152994156,0.28068768978118896
3000,0.05293993279337883,0.8039399152994156,0.28068768978118896
3200,0.046021562069654465,0.7381640949845314,0.25621461868286133
3400,0.04119144752621651,0.6841976463794708,0.23702538013458252
3600,0.03421621397137642,0.6264892736077309,0.3055104613304138
3800,0.033890750259160995,0.5883093395829201,0.2413565218448639
4000,0.030665256083011627,0.544410188794136,0.26846978068351746
4000,0.030665256083011627,0.544410188794136,0.26846978068351746
4200,0.029789522290229797,0.5118431501090527,0.17658445239067078
4400,0.028236042708158493,0.4813490556180477,0.2040262073278427
4600,0.02147217094898224,0.4494986101984978,0.21221081912517548
4800,0.022381804883480072,0.43268238425254824,0.23482105135917664
5000,0.018627066165208817,0.4104308532178402,0.2570062577724457
5000,0.018627066165208817,0.4104308532178402,0.2570062577724457
5200,0.017073646187782288,0.3870486383140087,0.19108015298843384
5400,0.01460273191332817,0.36344631254673004,0.23652935028076172
5600,0.014170035719871521,0.3564172737300396,0.22046254575252533
5800,0.014082856476306915,0.34554865553975106,0.2321566492319107
6000,0.01263415440917015,0.32744784370064733,0.19255846738815308
6000,0.01263415440917015,0.32744784370064733,0.19255846738815308
6200,0.012194819748401642,0.3184451548010111,0.15163080394268036
6400,0.011435374617576599,0.3121564067900181,0.2146432250738144
6600,0.009423166513442993,0.3003017007559538,0.14041894674301147
6800,0.009579580277204514,0.2952472924441099,0.16181142628192902
7000,0.008617136627435684,0.2849488328397274,0.21224263310432434
7000,0.008617136627435684,0.2849488328397274,0.21224263310432434
7200,0.009681787341833115,0.2756005546450615,0.18950609862804413
7400,0.007945485413074493,0.26894976653158664,0.17635157704353333
7600,0.008055802434682846,0.2649795810878277,0.1760951727628708
7800,0.006890542805194855,0.25645150765776636,0.1776553988456726
8000,0.007068347185850143,0.25226539373397827,0.17134836316108704
8000,0.007068347185850143,0.25226539373397827,0.17134836316108704
8200,0.006879866123199463,0.24793623425066472,0.1745613068342209
8400,0.006761662662029266,0.23982516497373582,0.2239876240491867
8600,0.007265295833349228,0.2387452594190836,0.16050340235233307
8800,0.0061113350093364716,0.23314109064638613,0.1636296659708023
9000,0.005916852504014969,0.23154312826693058,0.15841850638389587
9000,0.005916852504014969,0.23154312826693058,0.15841850638389587
9200,0.006596077233552933,0.22667368136346341,0.18488231301307678
9400,0.007224339991807938,0.22200688026845455,0.1459285318851471
9600,0.0058181509375572205,0.2220017647743225,0.17822952568531036
9800,0.005112960934638977,0.21473347902297973,0.17731313407421112
10000,0.0046265460550785065,0.2157562678307295,0.14998897910118103
10000,0.0046265460550785065,0.2157562678307295,0.14998897910118103
10200,0.005783073604106903,0.21051438465714456,0.14469332993030548
10400,0.0053541772067546844,0.20862269543111325,0.15724892914295197
10600,0.005184449255466461,0.20425912111997604,0.15044669806957245
10800,0.0052831657230854034,0.20031784668564798,0.14688068628311157
11000,0.004650045186281204,0.20057042740285397,0.15614420175552368
11000,0.004650045186281204,0.20057042740285397,0.15614420175552368
11200,0.003655731678009033,0.19971620358526707,0.1735363006591797
11400,0.003554224967956543,0.1947708984464407,0.14665591716766357
11600,0.003519579768180847,0.19620672591030597,0.15371271967887878
11800,0.00350358709692955,0.19151970475912095,0.1587904989719391
12000,0.0036164559423923492,0.1911592499166727,0.14321614801883698
12000,0.0036164559423923492,0.1911592499166727,0.14321614801883698
12200,0.0044576190412044525,0.18830455511808394,0.1524548977613449
12400,0.0040140897035598755,0.1844443239271641,0.15307222306728363
12600,0.0030066631734371185,0.18442676112055778,0.14776086807250977
12800,0.0028744712471961975,0.18026997081935406,0.1331421136856079
13000,0.0035596825182437897,0.1808586298674345,0.13352124392986298
13000,0.0035596825182437897,0.1808586298674345,0.13352124392986298
13200,0.002540178596973419,0.17912762813270092,0.14892423152923584
13400,0.00573025643825531,0.17669628396630288,0.1490621566772461
13600,0.003960855305194855,0.17560988858342172,0.14382049441337585
13800,0.0031247399747371674,0.17648482359945775,0.13770177960395813
14000,0.0027264729142189026,0.17228586100041865,0.14572520554065704
14000,0.0027264729142189026,0.17228586100041865,0.14572520554065704
14200,0.003744855523109436,0.175472432076931,0.1405303180217743
14400,0.0032268092036247253,0.16693834375590086,0.12050524353981018
14600,0.002558428794145584,0.16736715324223042,0.16754503548145294
14800,0.003645569086074829,0.16674547348171473,0.14461489021778107
15000,0.0025934502482414246,0.16340900033712388,0.13752558827400208
15000,0.0025934502482414246,0.16340900033712388,0.13752558827400208
15200,0.0028718076646327972,0.16281701121479272,0.1303463727235794
15400,0.002292599529027939,0.1614294045045972,0.13949677348136902
15600,0.0029918253421783447,0.15905315436422826,0.12652695178985596
15800,0.0022106915712356567,0.15746735516935587,0.13292358815670013
16000,0.0020120106637477875,0.15990314561873675,0.15508124232292175
16000,0.0020120106637477875,0.15990314561873675,0.15508124232292175
16200,0.0019650831818580627,0.1586356471851468,0.11530400067567825
16400,0.002591107040643692,0.15370755184441806,0.11642516404390335
16600,0.002620518207550049,0.15616375897079707,0.1278780698776245
16800,0.0029068738222122192,0.15441991224884988,0.14783106744289398
17000,0.0017095208168029785,0.15245012514293194,0.1532399207353592
17000,0.0017095208168029785,0.15245012514293194,0.1532399207353592
17200,0.0016700886189937592,0.1532176959887147,0.12172342091798782
17400,0.0021268315613269806,0.15022659737616778,0.13435634970664978
17600,0.0015798024833202362,0.15136463068425654,0.1260320246219635
17800,0.0016108453273773193,0.15221959084272385,0.11678751558065414
18000,0.0020157545804977417,0.1498674451559782,0.12558725476264954
18000,0.0020157545804977417,0.1498674451559782,0.12558725476264954
18200,0.00189121812582016,0.1485670356079936,0.11289217323064804
18400,0.0013463795185089111,0.14540838100016118,0.13695654273033142
18600,0.0024448633193969727,0.1465443168208003,0.13347923755645752
18800,0.0018208064138889313,0.1458905917033553,0.11973343044519424
19000,0.0030766762793064117,0.1436121140420437,0.14126180112361908
19000,0.0030766762793064117,0.1436121140420437,0.14126180112361908
19200,0.0020573660731315613,0.1448648511618376,0.15850789844989777
19400,0.0013220757246017456,0.1430592841655016,0.1349349319934845
19600,0.0019469484686851501,0.14528023291379213,0.12089228630065918
19800,0.0012926682829856873,0.13845622543245553,0.10758768022060394
20000,0.0015303082764148712,0.14209362789988517,0.10253971815109253
20000,0.0015303082764148712,0.14209362789988517,0.10253971815109253
20200,0.0018409192562103271,0.13813744679093362,0.11868608742952347
20400,0.001644175499677658,0.1389705730974674,0.1324710100889206
20600,0.0014464892446994781,0.1363490492850542,0.12271373718976974
20800,0.0015321522951126099,0.13695468962192536,0.11316739022731781
21000,0.0014181062579154968,0.1341678138449788,0.12697115540504456
21000,0.0014181062579154968,0.1341678138449788,0.12697115540504456
21200,0.001319054514169693,0.13370475362986325,0.1121106967329979
21400,0.0010367818176746368,0.13497087299823762,0.1349349021911621
21600,0.0013486631214618683,0.13018358133733274,0.11143097281455994
21800,0.0010295882821083069,0.13164776600897313,0.1389564573764801
22000,0.0011361241340637207,0.1297343272343278,0.11076487600803375
22000,0.0011361241340637207,0.1297343272343278,0.11076487600803375
22200,0.0010942481458187103,0.13038250468671322,0.10929087549448013
22400,0.001039348542690277,0.12895573705434799,0.13693484663963318
22600,0.0009195469319820404,0.13072842322289943,0.10843635350465775
22800,0.0008670017123222351,0.12851530697196722,0.12219497561454773
23000,0.0012666024267673492,0.12655286148190498,0.1159534677863121
23000,0.0012666024267673492,0.12655286148190498,0.1159534677863121
23200,0.001222129911184311,0.12808510683476926,0.132090225815773
23400,0.0011952966451644897,0.127148023173213,0.10687783360481262
23600,0.000908873975276947,0.12397649005055428,0.09497096389532089
23800,0.0011021383106708527,0.1265946276858449,0.12704810500144958
24000,0.0008598826825618744,0.1243606811016798,0.10008038580417633
24000,0.0008598826825618744,0.1243606811016798,0.10008038580417633
24200,0.0007788576185703278,0.12390828162431716,0.1328050196170807
24400,0.0010136887431144714,0.12191089913249016,0.10940584540367126
24600,0.0008496157824993134,0.12340866152197122,0.14296124875545502
24800,0.0007651709020137787,0.12228429269045592,0.15043354034423828
25000,0.0008081644773483276,0.12017833724617959,0.13640248775482178
25000,0.0008081644773483276,0.12017833724617959,0.13640248775482178
25200,0.0008392296731472015,0.12244899205863476,0.10801892727613449
25400,0.0008585862815380096,0.12182327806949615,0.09751105308532715
25600,0.0007582046091556549,0.11922489780932664,0.10556341707706451
25800,0.0006836503744125366,0.11975704245269299,0.1215897649526596
26000,0.0011082552373409271,0.12138867910951376,0.08829060941934586
26000,0.0011082552373409271,0.12138867910951376,0.08829060941934586
26200,0.0007075443863868713,0.12206551898270845,0.10906308889389038
26400,0.0005984455347061157,0.11921384312212467,0.10870129615068436
26600,0.0010067485272884369,0.1197412757575512,0.10768274962902069
26800,0.0008286088705062866,0.11932156447321177,0.1405555158853531
27000,0.0008694492280483246,0.11788409251719713,0.10289592295885086
27000,0.0008694492280483246,0.11788409251719713,0.10289592295885086
27200,0.0007374323904514313,0.11710674602538347,0.10141830146312714
27400,0.0007435381412506104,0.11644576035439969,0.10777024179697037
27600,0.000566333532333374,0.11581541407853364,0.11993618309497833
27800,0.0005988478660583496,0.1156449069455266,0.11444442719221115
28000,0.0006144233047962189,0.11712754525244236,0.11336972564458847
28000,0.0006144233047962189,0.11712754525244236,0.11336972564458847
28200,0.0010847598314285278,0.11670562352985143,0.12397666275501251
28400,0.0015857592225074768,0.11485080685466528,0.11593611538410187
28600,0.0007932148873806,0.1130260194465518,0.09361917525529861
28800,0.0006570853292942047,0.11085427775979043,0.11316316574811935
29000,0.0007137395441532135,0.11359783105552196,0.10970223695039749
29000,0.0007137395441532135,0.11359783105552196,0.10970223695039749
29200,0.000594262033700943,0.11288561012595892,0.11191853135824203
29400,0.0006223022937774658,0.11602091711014509,0.11188381910324097
29600,0.0006757788360118866,0.11208046324551106,0.09148981422185898
29800,0.0005387850105762482,0.1105184119567275,0.09909244626760483
30000,0.000502459704875946,0.10960476420819759,0.10183680057525635
30000,0.000502459704875946,0.10960476420819759,0.10183680057525635
30200,0.0005467310547828674,0.111858253441751,0.08728598803281784
30400,0.0005241744220256805,0.1098960118368268,0.10376828163862228
30600,0.000654611736536026,0.11112226903438568,0.09618319571018219
30800,0.000788368284702301,0.10792617917060852,0.12623068690299988
31000,0.00038512423634529114,0.10992465782910585,0.10843551158905029
31000,0.00038512423634529114,0.10992465782910585,0.10843551158905029
31200,0.0004842318594455719,0.10946896202862262,0.1178068295121193
31400,0.0005639679729938507,0.10878116931766271,0.0930245891213417
31600,0.0011151470243930817,0.10706484563648701,0.1079438105225563
31800,0.0007377266883850098,0.10767000883817673,0.09350021183490753
32000,0.00042983144521713257,0.10713712252676487,0.10290508717298508
32000,0.00042983144521713257,0.10713712252676487,0.10290508717298508
32200,0.00041000545024871826,0.1084040155261755,0.10428047180175781
32400,0.0006359480321407318,0.10816247254610062,0.10804496705532074
32600,0.000744059681892395,0.10554253131151199,0.10705091804265976
32800,0.0003698095679283142,0.1070104006677866,0.0965915247797966
33000,0.0004072748124599457,0.10505007103085517,0.11021466553211212
33000,0.0004072748124599457,0.10505007103085517,0.11021466553211212
33200,0.00037619471549987793,0.10631826929748059,0.10215955227613449
33400,0.0005289986729621887,0.10294904947280883,0.09876863658428192
33600,0.0004784613847732544,0.1067726144194603,0.11518005281686783
33800,0.0004115775227546692,0.10554246544837952,0.11443409323692322
34000,0.000333297997713089,0.10340083561837674,0.10679975897073746
34000,0.000333297997713089,0.10340083561837674,0.10679975897073746
34200,0.00044692307710647583,0.10423850532621146,0.11031089723110199
34400,0.0004007071256637573,0.10479499332606793,0.10224561393260956
34600,0.00038743019104003906,0.1035174684599042,0.08483313769102097
34800,0.0003901757299900055,0.10330527778714896,0.09969969838857651
35000,0.00036572664976119995,0.10408009804785251,0.10169723629951477
35000,0.00036572664976119995,0.10408009804785251,0.10169723629951477
35200,0.0003827996551990509,0.10155799303203822,0.09175312519073486
35400,0.0004248097538948059,0.10150648772716522,0.10445189476013184
35600,0.00031726062297821045,0.10296398416161537,0.09063225984573364
35800,0.0004215538501739502,0.10260828237980604,0.09345605224370956
36000,0.0003552436828613281,0.10263638302683831,0.0958392322063446
36000,0.0003552436828613281,0.10263638302683831,0.0958392322063446
36200,0.0004653334617614746,0.10049618545919657,0.11086098849773407
36400,0.0004829391837120056,0.10039849951863289,0.1051158532500267
36600,0.00042457133531570435,0.10087449230253696,0.08226480334997177
36800,0.00041734054684638977,0.0992155660688877,0.10161487758159637
37000,0.000334322452545166,0.0997712417319417,0.09902290999889374
37000,0.000334322452545166,0.0997712417319417,0.09902290999889374
37200,0.000382937490940094,0.09948927108198405,0.09272059798240662
37400,0.00036340951919555664,0.09935754448175431,0.11636827141046524
37600,0.0003369376063346863,0.09920401025563479,0.10295280814170837
37800,0.00032940879464149475,0.09819004736840725,0.11502309888601303
38000,0.0004010610282421112,0.09908330589532852,0.1189136877655983
38000,0.0004010610282421112,0.09908330589532852,0.1189136877655983
38200,0.0006630420684814453,0.09788901835680008,0.10470346361398697
38400,0.00027993693947792053,0.0976883614435792,0.09317570924758911
38600,0.000349927693605423,0.10011613883078098,0.11042814701795578
38800,0.00042075663805007935,0.09748547613620757,0.07914197444915771
39000,0.00027707964181900024,0.09853254660964011,0.09383368492126465
39000,0.00027707964181900024,0.09853254660964011,0.09383368492126465
39200,0.0002552531659603119,0.09830942284315825,0.08474019914865494
39400,0.00030844658613204956,0.0986388909816742,0.08613656461238861
39600,0.0003311559557914734,0.09967975627630948,0.09047248959541321
39800,0.00038262829184532166,0.09865040637552738,0.1056288331747055
40000,0.0002775229513645172,0.09595507383346558,0.09387721866369247
40000,0.0002775229513645172,0.09595507383346558,0.09387721866369247
40200,0.0003473609685897827,0.09608845591545105,0.09482447803020477
40400,0.0003211759030818939,0.09720245510339737,0.09489864110946655
40600,0.00023281574249267578,0.0961545142158866,0.11107272654771805
40800,0.0002432502806186676,0.09622865673154593,0.08515948802232742
41000,0.0002815611660480499,0.09647567626088857,0.0887819454073906
41000,0.0002815611660480499,0.09647567626088857,0.0887819454073906
41200,0.00034864991903305054,0.09374159775674343,0.06833058595657349
41400,0.00034653395414352417,0.09590554486960173,0.08924030512571335
41600,0.0003402791917324066,0.09700479160994291,0.0959068313241005
41800,0.00021622329950332642,0.09310934633016586,0.08423173427581787
42000,0.00023043528199195862,0.09380815461277962,0.09497436881065369
42000,0.00023043528199195862,0.09380815461277962,0.09497436881065369
42200,0.00024102628231048584,0.0940778386965394,0.0816163718700409
42400,0.0003037750720977783,0.0943774600699544,0.08387964963912964
42600,0.0003404878079891205,0.09510009925812483,0.09512559324502945
42800,0.00029877200722694397,0.09230061739683151,0.10677452385425568
43000,0.0003016814589500427,0.09182306919246912,0.09800466895103455
43000,0.0003016814589500427,0.09182306919246912,0.09800466895103455
43200,0.0002924315631389618,0.09217663947492838,0.08811330050230026
43400,0.00027966126799583435,0.09287444237619638,0.07343339920043945
43600,0.00027605146169662476,0.09091981692239642,0.07648593187332153
43800,0.00032116472721099854,0.092308315820992,0.08047977834939957
44000,0.0002866797149181366,0.0914883829280734,0.09425460547208786
44000,0.0002866797149181366,0.0914883829280734,0.09425460547208786
44200,0.00027724727988243103,0.09156605087220669,0.09669173508882523
44400,0.000296175479888916,0.09078539177775383,0.07293108850717545
44600,0.0002505183219909668,0.0907063178345561,0.0952242910861969
44800,0.0002751089632511139,0.09158580016344786,0.09341876953840256
45000,0.0003045499324798584,0.09276338426396251,0.09202948212623596
45000,0.0003045499324798584,0.09276338426396251,0.09202948212623596
45200,0.00021211057901382446,0.0901038908213377,0.10075385868549347
45400,0.0002946518361568451,0.09134403098374605,0.09504150599241257
45600,0.0002487301826477051,0.09070309530943632,0.09473796933889389
45800,0.00025677308440208435,0.09151146374642849,0.0855732411146164
46000,0.00026835501194000244,0.0900194812938571,0.09601446241140366
46000,0.00026835501194000244,0.0900194812938571,0.09601446241140366
46200,0.00022524595260620117,0.09031913075596094,0.08066433668136597
46400,0.00024928152561187744,0.08822398524731398,0.09393620491027832
46600,0.00018851086497306824,0.09033747557550668,0.08653243631124496
46800,0.0002484545111656189,0.0909707224369049,0.09047511219978333
47000,0.00023461878299713135,0.09179469306021928,0.09632671624422073
47000,0.00023461878299713135,0.09179469306021928,0.09632671624422073
