_step,train/losses_after_forward,train/loss,train/losses_after_rm_padding,train/losses_after_in_ep_bound
200,0.215672567486763,0.2263086587190628,0.21018417179584503,0.21018417179584503
400,0.12208928912878036,0.14290517568588257,0.1184326708316803,0.1184326708316803
600,0.15806308388710022,0.1658961921930313,0.15656453371047974,0.15656453371047974
800,0.10226122289896011,0.11416500061750412,0.09889543056488037,0.09889543056488037
1000,0.13300643861293793,0.13300643861293793,0.13300643861293793,0.13300643861293793
1000,0.13300643861293793,0.13300643861293793,0.13300643861293793,0.13300643861293793
1200,0.18149614334106445,0.19257992506027222,0.1757291853427887,0.1757291853427887
1400,0.10030855238437653,0.10102936625480652,0.09484131634235382,0.09484131634235382
1600,0.13874222338199615,0.13874222338199615,0.13874222338199615,0.13874222338199615
1800,0.08654523640871048,0.09186802804470062,0.08555210381746292,0.08555210381746292
2000,0.10630573332309723,0.11239377409219742,0.10438571870326996,0.10438571870326996
2000,0.10630573332309723,0.11239377409219742,0.10438571870326996,0.10438571870326996
2200,0.11980682611465454,0.12227211147546768,0.11875679343938828,0.11875679343938828
2400,0.09983004629611969,0.09983003884553909,0.09983004629611969,0.09983004629611969
2600,0.07098310440778732,0.07890194654464722,0.06844744086265564,0.06844744086265564
2800,0.07671994715929031,0.08458550274372101,0.07358939200639725,0.07358939200639725
3000,0.082025907933712,0.08507324010133743,0.08071323484182358,0.08071323484182358
3000,0.082025907933712,0.08507324010133743,0.08071323484182358,0.08071323484182358
3200,0.08984475582838058,0.08870687335729599,0.08615655452013016,0.08615655452013016
3400,0.0735020563006401,0.0735020563006401,0.0735020563006401,0.0735020563006401
3600,0.0547221340239048,0.057234026491642,0.05444386973977089,0.05444386973977089
3800,0.03774787858128548,0.04131465405225754,0.036924973130226135,0.036924973130226135
4000,0.04779158905148506,0.049059681594371796,0.047587890177965164,0.047587890177965164
4000,0.04779158905148506,0.049059681594371796,0.047587890177965164,0.047587890177965164
4200,0.06043842434883118,0.0669693574309349,0.05817962810397148,0.05817962810397148
4400,0.07817336171865463,0.07817335426807404,0.07817336171865463,0.07817336171865463
4600,0.08499611169099808,0.08587579429149628,0.08490969240665436,0.08490969240665436
4800,0.06289061158895493,0.0657225102186203,0.06136839836835861,0.06136839836835861
5000,0.04502219706773758,0.049152959138154984,0.04417622461915016,0.04417622461915016
5000,0.04502219706773758,0.049152959138154984,0.04417622461915016,0.04417622461915016
5200,0.04535778611898422,0.04535778611898422,0.04535778611898422,0.04535778611898422
5400,0.0800638198852539,0.08121656626462936,0.07949071377515793,0.07949071377515793
5600,0.07043810933828354,0.07189282029867172,0.07018536329269409,0.07018536329269409
5800,0.03269612044095993,0.03527907282114029,0.032148055732250214,0.032148055732250214
6000,0.052706580609083176,0.05017698556184769,0.046601876616477966,0.046601876616477966
6000,0.052706580609083176,0.05017698556184769,0.046601876616477966,0.046601876616477966
6200,0.04647853225469589,0.04650052636861801,0.04644240066409111,0.04644240066409111
6400,0.07515116780996323,0.07648070901632309,0.07466429471969604,0.07466429471969604
6600,0.03405661880970001,0.032684460282325745,0.027168957516551018,0.027168957516551018
6800,0.05511126294732094,0.05748194456100464,0.05482340604066849,0.05482340604066849
7000,0.042838264256715775,0.04307551681995392,0.042698606848716736,0.042698606848716736
7000,0.042838264256715775,0.04307551681995392,0.042698606848716736,0.042698606848716736
7200,0.037710677832365036,0.03781703859567642,0.03758068010210991,0.03758068010210991
7400,0.024961739778518677,0.025271454825997353,0.024576488882303238,0.024576488882303238
7600,0.03902638703584671,0.03982528671622276,0.03873009234666824,0.03873009234666824
7800,0.058921460062265396,0.06274113804101944,0.058662962168455124,0.058662962168455124
8000,0.02326805144548416,0.024456728249788284,0.021124500781297684,0.021124500781297684
8000,0.02326805144548416,0.024456728249788284,0.021124500781297684,0.021124500781297684
8200,0.0522594228386879,0.05736890435218811,0.05134517326951027,0.05134517326951027
8400,0.03667060285806656,0.03671172633767128,0.036665838211774826,0.036665838211774826
8600,0.04990530014038086,0.05197053402662277,0.04982674866914749,0.04982674866914749
