_step,train/losses_after_forward,train/loss,train/losses_after_rm_padding,train/losses_after_in_ep_bound
8800,0.03312518447637558,0.03312518447637558,0.03312518447637558,0.03312518447637558
9000,0.047323040664196014,0.05183030664920807,0.046906426548957825,0.046906426548957825
9000,0.047323040664196014,0.05183030664920807,0.046906426548957825,0.046906426548957825
9200,0.039892278611660004,0.04065384343266487,0.039637498557567596,0.039637498557567596
9400,0.026177210733294487,0.029941607266664505,0.024177849292755127,0.024177849292755127
9600,0.015419365838170052,0.015603441745042801,0.01536939013749361,0.01536939013749361
9800,0.022743787616491318,0.023096293210983276,0.021999219432473183,0.021999219432473183
10000,0.034485429525375366,0.034485429525375366,0.034485429525375366,0.034485429525375366
10000,0.034485429525375366,0.034485429525375366,0.034485429525375366,0.034485429525375366
10200,0.03249308839440346,0.03388630971312523,0.03210727870464325,0.03210727870464325
10400,0.03453037515282631,0.03496713936328888,0.03404925391077995,0.03404925391077995
10600,0.026932386681437492,0.02816805988550186,0.02675965614616871,0.02675965614616871
10800,0.052057866007089615,0.05469011887907982,0.051408711820840836,0.051408711820840836
11000,0.05792131647467613,0.05870656296610832,0.057605814188718796,0.057605814188718796
11000,0.05792131647467613,0.05870656296610832,0.057605814188718796,0.057605814188718796
11200,0.03441730514168739,0.035756684839725494,0.03419233113527298,0.03419233113527298
11400,0.017790066078305244,0.018169067800045013,0.01776026375591755,0.01776026375591755
11600,0.02101132832467556,0.02149917744100094,0.0209616981446743,0.0209616981446743
11800,0.0617915503680706,0.0663728266954422,0.061228930950164795,0.061228930950164795
12000,0.012977741658687592,0.013197888620197773,0.012867942452430725,0.012867942452430725
12000,0.012977741658687592,0.013197888620197773,0.012867942452430725,0.012867942452430725
12200,0.015422170050442219,0.015422169119119644,0.015422170050442219,0.015422170050442219
12400,0.028604470193386078,0.02884332463145256,0.02859094738960266,0.02859094738960266
12600,0.023538533598184586,0.02393976040184498,0.023101869970560074,0.023101869970560074
12800,0.015738369897007942,0.01618918403983116,0.015480908565223217,0.015480908565223217
13000,0.021807268261909485,0.022869303822517395,0.021725839003920555,0.021725839003920555
13000,0.021807268261909485,0.022869303822517395,0.021725839003920555,0.021725839003920555
13200,0.04077969864010811,0.042493414133787155,0.04063432663679123,0.04063432663679123
13400,0.049782127141952515,0.06412528455257416,0.04921615868806839,0.04921615868806839
13600,0.016116036102175713,0.016116036102175713,0.016116036102175713,0.016116036102175713
13800,0.027089666575193405,0.027089666575193405,0.027089666575193405,0.027089666575193405
14000,0.01961248554289341,0.021194690838456154,0.019101714715361595,0.019101714715361595
14000,0.01961248554289341,0.021194690838456154,0.019101714715361595,0.019101714715361595
14200,0.013692738488316536,0.013832472264766693,0.013642276637256145,0.013642276637256145
14400,0.017588721588253975,0.018978387117385864,0.0173652246594429,0.0173652246594429
14600,0.01709948480129242,0.01859925128519535,0.01673932559788227,0.01673932559788227
14800,0.017327820882201195,0.017876440659165382,0.017228418961167336,0.017228418961167336
15000,0.014167558401823044,0.015683084726333618,0.013761906884610653,0.013761906884610653
15000,0.014167558401823044,0.015683084726333618,0.013761906884610653,0.013761906884610653
15200,0.024757739156484604,0.025541113689541817,0.02471102774143219,0.02471102774143219
15400,0.012491408735513687,0.013123894110321999,0.01245129480957985,0.01245129480957985
15600,0.020785685628652573,0.020785683766007423,0.020785685628652573,0.020785685628652573
15800,0.06816230714321136,0.07107824832201004,0.0671689435839653,0.0671689435839653
16000,0.024430017918348312,0.024430017918348312,0.024430017918348312,0.024430017918348312
16000,0.024430017918348312,0.024430017918348312,0.024430017918348312,0.024430017918348312
16200,0.010395949706435204,0.010683220811188221,0.010189121589064598,0.010189121589064598
16400,0.024876637384295464,0.025221344083547592,0.02481149695813656,0.02481149695813656
16600,0.014800536446273327,0.015356293879449368,0.014434916898608208,0.014434916898608208
16800,0.01806577481329441,0.01806577481329441,0.01806577481329441,0.01806577481329441
17000,0.019178079441189766,0.01830253377556801,0.017112869769334793,0.017112869769334793
17000,0.019178079441189766,0.01830253377556801,0.017112869769334793,0.017112869769334793
17200,0.025814631953835487,0.027129357680678368,0.025467686355113983,0.025467686355113983
17400,0.015309474430978298,0.01643870770931244,0.0144044179469347,0.0144044179469347
17600,0.02835141308605671,0.02844073623418808,0.028334084898233414,0.028334084898233414
17800,0.01963757537305355,0.02060069516301155,0.019441906362771988,0.019441906362771988
18000,0.08145169168710709,0.08474303781986237,0.0813533142209053,0.0813533142209053
18000,0.08145169168710709,0.08474303781986237,0.0813533142209053,0.0813533142209053
18200,0.021979445591568947,0.0228645708411932,0.02174992300570011,0.02174992300570011
18400,0.04842542111873627,0.04908948391675949,0.04835314303636551,0.04835314303636551
18600,0.01046296488493681,0.010058955289423466,0.009581155143678188,0.009581155143678188
18800,0.012708187103271484,0.013462530449032784,0.012048964388668537,0.012048964388668537
19000,0.019111543893814087,0.019111543893814087,0.019111543893814087,0.019111543893814087
19000,0.019111543893814087,0.019111543893814087,0.019111543893814087,0.019111543893814087
19200,0.012947366572916508,0.012947366572916508,0.012947366572916508,0.012947366572916508
19400,0.026643671095371246,0.02455691434442997,0.023267677053809166,0.023267677053809166
19600,0.014592134393751621,0.014692768454551697,0.014472376555204391,0.014472376555204391
19800,0.025194987654685974,0.027966033667325974,0.024819854646921158,0.024819854646921158
20000,0.012908494099974632,0.013093875721096992,0.012602855451405048,0.012602855451405048
20000,0.012908494099974632,0.013093875721096992,0.012602855451405048,0.012602855451405048
